epoch,train_loss,val_loss,val_miou,val_f1,val_recall,val_precision,best_val_loss,best_val_miou,best_epoch,best_model_path
65,0.467396,0.491003,0.235464,0.272576,0.369091,0.291892,0.482166,0.257423,58,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
66,0.464877,0.489570,0.249484,0.293217,0.363907,0.320029,0.482166,0.257423,58,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
67,0.466241,0.489479,0.244384,0.286341,0.370734,0.304783,0.482166,0.257423,58,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
68,0.468082,0.488241,0.256536,0.303812,0.364313,0.321592,0.482166,0.257423,58,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
69,0.462561,0.489436,0.234094,0.273901,0.379496,0.287513,0.482166,0.257423,58,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
70,0.465531,0.490708,0.241681,0.280789,0.360664,0.301748,0.482166,0.257423,58,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
71,0.467419,0.490377,0.241542,0.280714,0.361902,0.299140,0.482166,0.257423,58,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
72,0.466236,0.490463,0.242223,0.282048,0.363596,0.315822,0.482166,0.257423,58,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
73,0.465723,0.487889,0.237164,0.279756,0.388010,0.285057,0.482166,0.257423,58,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
74,0.466997,0.488268,0.235464,0.277763,0.387708,0.284704,0.482166,0.257423,58,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
75,0.467828,0.489947,0.239929,0.280410,0.375341,0.300004,0.482166,0.257423,58,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
76,0.465825,0.486873,0.242360,0.286887,0.392889,0.285169,0.482166,0.257423,58,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
77,0.464096,0.490112,0.246153,0.287735,0.358371,0.327651,0.482166,0.257423,58,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
78,0.464360,0.489825,0.242616,0.283376,0.369194,0.299935,0.482166,0.257423,58,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
79,0.465536,0.488911,0.242671,0.285192,0.379646,0.302533,0.482166,0.257423,58,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
80,0.463449,0.486249,0.260924,0.310815,0.373649,0.312671,0.482166,0.260924,80,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
81,0.464545,0.487293,0.249171,0.295539,0.389781,0.299654,0.482166,0.260924,80,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
82,0.464615,0.491870,0.221940,0.255125,0.367707,0.295138,0.482166,0.260924,80,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
83,0.463806,0.488950,0.236532,0.277580,0.381435,0.293118,0.482166,0.260924,80,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
84,0.464062,0.489180,0.231428,0.271389,0.381329,0.286128,0.482166,0.260924,80,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
85,0.464559,0.490428,0.237772,0.276241,0.369631,0.318763,0.482166,0.260924,80,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
86,0.465196,0.487016,0.252197,0.298692,0.379185,0.298538,0.482166,0.260924,80,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
87,0.463562,0.488148,0.253694,0.300087,0.367600,0.320772,0.482166,0.260924,80,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
88,0.464550,0.489575,0.238934,0.279763,0.377489,0.303464,0.482166,0.260924,80,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
89,0.464391,0.490430,0.238478,0.277356,0.370361,0.318090,0.482166,0.260924,80,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
90,0.463740,0.490870,0.228058,0.263841,0.371046,0.291523,0.482166,0.260924,80,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
91,0.465271,0.484247,0.246888,0.294156,0.410270,0.278926,0.482166,0.260924,80,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
92,0.464930,0.491566,0.230825,0.265742,0.367426,0.292443,0.482166,0.260924,80,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
93,0.466119,0.491127,0.243485,0.282467,0.353774,0.313160,0.482166,0.260924,80,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
94,0.467365,0.492907,0.229148,0.260754,0.360980,0.340521,0.482166,0.260924,80,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
95,0.467632,0.489178,0.253548,0.298867,0.357467,0.314193,0.482166,0.260924,80,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
96,0.466329,0.488900,0.244477,0.287156,0.375717,0.295274,0.482166,0.260924,80,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
97,0.463867,0.491210,0.236925,0.274183,0.366300,0.311108,0.482166,0.260924,80,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
98,0.464707,0.490924,0.240078,0.278640,0.363264,0.309929,0.482166,0.260924,80,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
99,0.466096,0.488546,0.244073,0.287109,0.380361,0.292648,0.482166,0.260924,80,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
100,0.465202,0.487532,0.253687,0.300647,0.374628,0.309614,0.482166,0.260924,80,checkpoints\unet\MARIDA\best_model_20260723_220423.pth
